"text","created"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @future_doktora: People who smoke while walking and not minding the people behind them are just plain rude.

Please stop this.

Not ever…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"@omeagoz @EmilyFravel13 Seriously? Smoking causes lung cancer. Do you support smoking because bungee jumping is a risk?","2019-07-28"
"@chrisyogerst You can get lung cancer just watching those two guys.","2019-07-28"
"RT @addalina1: Cuba has a lung cancer vaccine. Many U.S. patients can’t get it without breaking the law https://t.co/1RLGbfjjn3","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @PopSci: Poor lung cancer screening guidelines miss too many African American smokers https://t.co/5mUInidNDE https://t.co/ccnRlqQ6vT","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @Mangan150: Omega-3 fatty acid DHA kills human lung cancer cells, at 60 μM. According to my calculations, that level can be easily achie…","2019-07-28"
"Cuba has a lung cancer vaccine. Many U.S. patients can’t get it without breaking the law https://t.co/1RLGbfjjn3","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"@EmilyFravel13 Lung cancer among non  smokers is not common but possible. Lung cancer among smokers is much more co… https://t.co/VjqMNHc0Lo","2019-07-28"
"RT @nowthisnews: ‘Many people know that I was working in a restaurant when I got elected, but they don’t know why.’ — Rep. @AOC opened up a…","2019-07-28"
"RT @bIackgirIs: My dad’s dad died at the age of 49 due to lung cancer. My dad has been very afraid he wouldn’t live past that age but today…","2019-07-28"
"RT @SortaBad: Today I announce that I will reimburse the cost of medical school to any student who cures lung cancer and then opens a salsa…","2019-07-28"
